Time;global_anomaly;northern_anomaly;southern_anomaly
1850;-0.41765878;-0.43579108;-0.39952648
1851;-0.2333498;-0.21924901;-0.24745059
1852;-0.22939907;-0.23570205;-0.2230961
1853;-0.27035445;-0.24539217;-0.2953167
1854;-0.29163003;-0.17490809;-0.408352
1855;-0.2969512;-0.24564321;-0.3482592
1856;-0.32035372;-0.33354086;-0.30716658
1857;-0.46723005;-0.45139664;-0.48306343
1858;-0.3887657;-0.3586044;-0.41892695
1859;-0.28119546;-0.24764407;-0.31474683
1860;-0.39016518;-0.45903206;-0.32129827
1861;-0.42927712;-0.40554163;-0.4530126
1862;-0.53639776;-0.7015686;-0.37122685
1863;-0.3443432;-0.30135897;-0.38732743
1864;-0.4654367;-0.46164352;-0.4692299
1865;-0.33258784;-0.367516;-0.2976597
1866;-0.34126064;-0.37373003;-0.30879125
1867;-0.35696334;-0.40509325;-0.30883342
1868;-0.35196072;-0.3587121;-0.3452093
1869;-0.31657043;-0.24876358;-0.3843773
1870;-0.32789087;-0.3120681;-0.3437136
1871;-0.3685807;-0.44095552;-0.29620588
1872;-0.32804197;-0.3570225;-0.29906142
1873;-0.34133235;-0.3755952;-0.30706945
1874;-0.3732512;-0.29373273;-0.45276964
1875;-0.37562594;-0.48372233;-0.26752955
1876;-0.42410994;-0.43496627;-0.41325358
1877;-0.101108834;-0.10136229;-0.10085537
1878;-0.011315193;0.07121073;-0.09384111
1879;-0.30363432;-0.33624864;-0.27102003
1880;-0.31583208;-0.38399777;-0.24766637
1881;-0.23224552;-0.28404993;-0.18044113
1882;-0.29553008;-0.37297913;-0.21808103
1883;-0.3464744;-0.42706347;-0.26588535
1884;-0.49232006;-0.63446146;-0.3501787
1885;-0.47112358;-0.50963664;-0.43261054
1886;-0.42090362;-0.4454663;-0.3963409
1887;-0.49878576;-0.49421906;-0.50335246
1888;-0.37937889;-0.37244922;-0.38630855
1889;-0.24989556;-0.26046592;-0.23932517
1890;-0.50685817;-0.5236722;-0.49004412
1891;-0.40131494;-0.41190198;-0.39072788
1892;-0.5075585;-0.57606024;-0.4390568
1893;-0.49461925;-0.5567236;-0.43251488
1894;-0.48376393;-0.44259676;-0.5249311
1895;-0.4487516;-0.44512075;-0.45238245
1896;-0.28400728;-0.29344037;-0.27457422
1897;-0.25980017;-0.25156042;-0.2680399
1898;-0.48579213;-0.430447;-0.5411372
1899;-0.35543364;-0.33304518;-0.37782213
1900;-0.23447904;-0.19789775;-0.27106032
1901;-0.29342857;-0.21493746;-0.37191966
1902;-0.43898427;-0.459913;-0.41805556
1903;-0.5333264;-0.50512433;-0.56152844
1904;-0.5975614;-0.5783536;-0.6167693
1905;-0.40775132;-0.40339717;-0.4121055
1906;-0.3191393;-0.26034278;-0.37793586
1907;-0.5041577;-0.53668755;-0.47162786
1908;-0.5138707;-0.47782668;-0.5499147
1909;-0.5357649;-0.49372384;-0.57780594
1910;-0.5310242;-0.49141455;-0.5706339
1911;-0.5392051;-0.4531457;-0.6252645
1912;-0.47567302;-0.5302812;-0.42106485
1913;-0.46715254;-0.4946916;-0.43961346
1914;-0.2625924;-0.26909837;-0.25608647
1915;-0.19184391;-0.17552477;-0.20816307
1916;-0.42020997;-0.44348505;-0.3969349
1917;-0.54301953;-0.58452386;-0.5015152
1918;-0.42458433;-0.4693667;-0.37980196
1919;-0.32551822;-0.37228045;-0.278756
1920;-0.2985808;-0.30915058;-0.28801098
1921;-0.24067703;-0.16326092;-0.31809315
1922;-0.33922812;-0.3025757;-0.37588054
1923;-0.31793055;-0.2553121;-0.380549
1924;-0.3120622;-0.19269112;-0.43143332
1925;-0.28242525;-0.16855866;-0.39629188
1926;-0.12283547;-0.0019481456;-0.2437228
1927;-0.22940508;-0.106848285;-0.35196185
1928;-0.20676155;-0.0874137;-0.3261094
