kyrBP;co2(ppm);co2Uncertainty(1sd, ppm)
1000;283,2325031;11,11631574
2000;278,0458112;3,336202959
3000;275,4241056;3,449038465
4000;272,8180045;3,464890745
5000;269,1344717;3,633113033
6000;264,3329256;3,903912217
7000;260,7620629;3,629070438
8000;259,9483117;3,178291078
9000;261,4238921;3,507055335
10000;264,0636036;3,436266094
11000;264,333924;5,397368461
12000;253,7131204;7,779258727
13000;241,7050892;5,285290857
14000;237,9271011;4,886439834
15000;231,2741784;6,021096541
16000;220,3501512;6,768077555
17000;202,404668;10,09502317
18000;189,9793894;4,155370545
19000;190,1074283;3,746004605
20000;192,169303;3,779483737
21000;189,7931901;3,80758312
22000;188,0875268;3,653825136
23000;189,2418773;4,43525526
24000;186,4899324;4,83951603
25000;182,3195471;3,605590076
26000;184,8476733;3,351007652
27000;188,7631325;4,245863342
28000;190,63145;3,417898627
29000;191,6845971;3,495782238
30000;189,0434391;3,897953942
31000;188,1951137;4,056205921
32000;193,9327499;3,653383344
33000;196,3005445;3,423456545
34000;196,5437869;3,560672759
35000;201,022959;3,993110393
36000;201,9041835;3,564295891
37000;206,6676677;4,781729208
38000;209,8705759;4,273770569
39000;205,0445293;5,493211409
40000;197,8397251;5,900512528
41000;200,8908814;4,167240725
42000;202,3113073;3,727471106
43000;203,755657;3,426105951
44000;204,3948076;4,167272332
45000;210,885274;5,277817181
46000;217,9821513;4,843447478
47000;211,4478347;5,639234632
48000;204,9041342;3,86832452
49000;202,3093056;3,565475892
50000;204,8010855;3,612155261
51000;209,0480693;4,142584101
52000;216,0019123;4,660817373
53000;221,5066284;3,732808512
54000;219,8526536;4,050846029
55000;214,2065216;4,802711849
56000;210,8704457;4,105544473
57000;215,1594171;4,948971966
58000;222,3265238;4,409870652
59000;226,7309836;4,833913472
60000;218,7183419;6,126756273
61000;211,8669255;4,455142055
62000;206,7026764;4,614610533
63000;200,8946613;3,722475532
64000;199,1342938;3,692468062
65000;201,9515994;4,434429289
66000;202,3906083;4,915130214
67000;204,1776505;4,017329892
68000;202,2654138;3,559838218
69000;205,8512091;4,719978423
70000;215,6998871;5,798012552
71000;228,5811725;7,556329264
72000;236,3131163;4,447222891
73000;232,4122333;3,551194986
74000;234,0775942;5,086510189
75000;243,2147783;5,97282154
76000;244,6721279;6,365688555
77000;233,5884789;6,213087788
78000;225,9935395;3,62478517
79000;227,5725159;3,979360394
80000;232,1609449;3,864355896
81000;232,3623551;3,678037404
82000;237,3381995;4,793152884
83000;244,8169069;4,45494182
84000;246,8458913;4,812121918
85000;237,7639667;5,326340067
86000;228,4564452;5,400477078
87000;222,3637205;3,485816414
88000;220,9215568;4,224204262
89000;225,5928394;4,216156202
90000;229,2298811;3,219592211
91000;231,2283741;3,13924075
92000;232,779714;3,207994069
93000;234,251637;3,577600934
94000;238,527604;4,014058999
95000;242,8745184;3,258180588
96000;245,5452396;3,21846479
97000;243,4445242;3,58585491
98000;241,1707004;3,365831149
99000;243,059311;3,131748864
100000;245,4469701;3,533821562
101000;245,0946121;3,992305951
102000;240,9899198;4,284193696
103000;239,6988748;4,092365672
104000;242,5621381;5,056902624
105000;245,3672633;6,078446438
106000;247,1910545;7,018926683
107000;243,7588004;6,340062997
108000;239,1865575;4,688533311
109000;241,9663304;4,778047822
110000;244,943137;3,708959632
111000;249,9415128;6,442078298
112000;258,7113084;4,852525117
113000;261,7021436;4,617849925
114000;265,9655061;6,18642083
115000;273,180718;5,253381846
116000;274,3468087;3,447501234
117000;274,1924296;3,130253175
118000;274,8852767;3,945057004
119000;272,880401;5,256713214
120000;272,6160423;4,942562108
121000;276,372648;4,628575811
122000;278,1681049;3,286914043
123000;277,7054035;3,572261714
124000;277,1790771;4,000521835
125000;277,0228076;3,827002927
126000;275,2722975;3,371208375
127000;275,6035243;3,766759821
128000;277,3401774;5,736758468
129000;272,3433744;9,236541114
130000;259,6922141;12,63249704
131000;247,4633172;14,66946525
132000;236,157611;12,40789923
133000;227,9801152;9,704403489
134000;222,0028201;8,479075198
135000;215,5419483;9,01155242
136000;207,0976499;8,063587633
137000;201,8258751;5,1948687
138000;199,2807666;4,290637295
139000;197,2089469;4,323589779
140000;195,4721144;4,19165792
141000;194,9863649;3,73893169
142000;195,5866783;3,310535696
143000;195,5507957;3,158937203
144000;195,3005323;3,142715856
145000;195,0153404;3,188074926
146000;194,6733495;3,263510213
147000;195,2409682;3,689764552
148000;197,3339463;4,32620579
149000;199,6553851;4,310232124
150000;201,3695734;3,692447896
151000;202,0464086;3,231616092
152000;201,5642812;3,432354871
153000;199,4584721;3,856648308
154000;197,3536828;4,053117393
155000;195,2345411;4,689008847
156000;192,5711966;4,824174741
157000;190,1218653;4,095008019
158000;188,3691499;3,496183381
159000;187,4732319;3,373149671
160000;187,0756493;3,375184746
161000;187,5820382;4,584529461
162000;194,031564;8,422111988
163000;200,1579689;5,868908995
164000;199,3730027;5,623434441
165000;196,2053699;6,144360563
166000;192,0618364;5,286643883
167000;189,4656976;4,537507762
168000;188,4430453;5,162307396
169000;189,3664443;6,299203554
170000;191,9718398;6,740640763
171000;195,5494828;5,444961175
172000;197,4242794;3,542385668
173000;197,620853;3,097972121
174000;197,0381183;3,425072111
175000;195,4956764;4,165299503
176000;193,1395364;4,493467731
177000;191,4729434;4,417062794
178000;192,0986919;6,319970122
179000;198,1040165;9,949877405
180000;207,3522544;8,503127752
181000;211,4568299;6,551577757
182000;210,6508366;8,272091266
183000;206,3337988;9,314787295
184000;202,1767372;7,345536945
185000;201,139996;4,83227116
186000;202,9403144;4,564661163
187000;206,5614774;6,848257328
188000;212,9444066;10,02033455
189000;220,4956358;11,03562375
190000;226,054209;8,830584671
191000;226,4969284;6,979029183
192000;223,8481047;6,607635868
193000;221,5326345;5,674087395
194000;221,7952492;5,060246929
195000;223,2059978;4,977487077
196000;224,7725591;6,508902041
197000;229,6042018;8,955206771
198000;235,173983;8,733015158
199000;238,8409271;7,427173407
200000;242,615465;6,755662778
201000;246,2812901;6,249061868
202000;245,6379851;6,307068184
203000;244,0154548;6,415272296
204000;241,1484411;7,601304402
205000;236,461797;7,993904692
206000;233,0141446;6,706766797
207000;232,3818848;5,884014748
208000;234,6334993;6,410365267
209000;238,4615482;6,930954766
210000;242,6303677;6,735399422
211000;245,7782031;6,287107354
212000;247,2637269;6,673206253
213000;247,5690471;6,981281944
214000;246,5204828;6,483035526
215000;244,7445222;5,592204492
216000;244,8673813;5,250398659
217000;246,3588661;5,286135573
218000;246,5066752;6,145236157
219000;242,4575078;10,76620609
220000;229,4685462;15,52985693
221000;216,6656048;10,56014889
222000;211,8308443;6,160081086
223000;209,3345275;4,827988323
224000;207,6515078;4,490681885
225000;208,1206096;7,423685282
226000;213,4919527;12,11580156
227000;221,4826482;13,35239024
228000;228,0563013;10,55022581
229000;230,3739557;7,104816972
230000;230,524589;5,683774462
231000;232,4365861;5,519226006
232000;235,2872207;5,37393903
233000;237,5665492;5,353466263
234000;241,1364377;6,052000818
235000;245,6850544;5,389367315
236000;246,0824888;5,082984184
237000;245,2903156;5,02431877
238000;244,7753558;4,925368522
239000;245,9839945;5,700985104
240000;249,8150583;8,053565775
241000;257,409832;10,97601257
242000;265,8713783;11,39730501
243000;267,604856;12,4888581
244000;259,8845271;15,5073181
245000;248,6422444;15,72478126
246000;238,4737597;14,37947326
247000;229,8133133;12,29470868
248000;221,6361977;9,555724039
249000;214,9398134;7,044278305
250000;209,3998257;7,930395548
251000;205,3104922;8,172117213
252000;203,2483236;8,459784959
253000;200,4650348;7,986375853
254000;197,8822434;6,031244344
255000;197,5051079;4,379290868
256000;199,4472908;4,114704672
257000;201,3744397;3,824637841
258000;202,814182;3,623932782
259000;204,4200834;3,794262773
260000;206,4347214;4,104457171
261000;208,1137138;4,309840679
262000;209,9150266;5,300196008
263000;213,3785421;7,614537629
264000;217,8789671;10,18528326
265000;215,5109244;12,9494811
266000;208,2111028;12,38796731
267000;201,9798868;11,4473306
268000;195,6218544;10,47651163
269000;192,151024;7,43850257
270000;192,6002599;5,998757622
271000;192,804065;6,376181622
