years_ago;desc
13,800,000,000;"Big Bang singularity, cosmic inflation, creation of all particles of matter and counterpart antimatter, and the laws of physics governing their interactions; expansion and cooling of space ? formation of the observable Universe, its galaxies, solar systems, stars, planets, moons, asteroids and comets"
13,550,000,000;"ignition of hydrogen stars, bathing the Universe in first light of cosmic dawn ? earliest galaxies of stars forming 350-450 million years after the Big Bang; helium in stars fusing into carbon, leading to stellar nucleosynthesis of all elements"
13,000,000,000;aggregation of stars into the Milky Way galaxy: now a warped disc of 100 billion stars, one of 2 trillion galaxies in the observable Universe
12,200,000,000;earliest water: an interstellar vapour, and repository for oxygen
4,570,000,000;formation of the Sun and Solar System within the Milky Way, orbiting a supermassive black hole, Sagittarius A*, at its Galactic Centre every 220 million years
4,510,000,000;formation of the Moon from a giant impact with proto-Earth
4,500,000,000;formation of planet Earth with 510 million km² of surface area, orbiting the Sun on a yearly cycle, rotating eastward on a daily cycle around a tilted axis that perpetuates opposing polar seasons
4,400,000,000;formation of Earth’s oceans and moist atmosphere, protected from solar wind and cosmic rays by Earth’s magnetosphere generated by its iron core
4,400,000,000;earliest subduction of Earth’s crust ? continental plate tectonics by 3 billion years ago, unique to Earth in the Solar System
4,300,000,000;basaltic rock glass catalyses formation of RNA (Hadean Eon): long-strand molecules carrying information across self-replicating generations and synthesising peptides ? pre-biotic RNA world
4,000,000,000;earliest life on Earth: single-celled prokaryotic Archaea (Hadean Eon, 3.7-4.2 billion years ago), with inherited genes composed of stable DNA instructing the translation of RNA in ribosomes into proteins that perform cell functions ? planet Earth harbouring the only life in the Universe?
3,500,000,000;photosynthesising bacteria amongst the Archaea (Archean Eon), converting sunlight into chemical energy to fuel cellular activity
3,400,000,000;earliest atmospheric oxygen, present at low levels (Archean Eon)
3,200,000,000;emergence of Earth’s first continents from the ocean (Archean Eon, 3.2 to 3.3 billion years ago), supporting microbial mats in Earth’s first land ecosystem
2,330,000,000;the Great Oxygenation Event: 1-10 million years of rapidly accumulating atmospheric oxygen (Proterozoic Eon), a product of photosynthesis and energy source for complex life
2,100,000,000;early multicellular life, with cell-to-cell signalling and coordinated responses (Proterozoic Eon) ? 37 trillion mutually-dependent cells in an adult human body
1,700,000,000;earliest Eukaryotes amongst the Prokaryotes, arising from the merger of an archaeon with a bacterium: sexual reproduction with meiosis and recombination of genetic material from two parents (Proterozoic Eon)
890,000,000;earliest Metazoa – animals – amongst the Eukaryotes: sponges (Proterozoic Eon), prior to Snowball Earth episodes of worldwide glaciation
700,000,000;Neoproterozoic Oxygenation Event: 100 million years of rising photosynthesis with lengthening days as Earth’s rotational speed slows, improving conditions for complex life
635,000,000;earliest stem Cnidaria amongst the animals (early Ediacaran Period), ancestor of jellyfish and hydra: nervous system and sleep/wake cycle ? without sleep we die
550,000,000;earliest bilaterian animals, with left-right symmetry (Ediacaran Period): burrowing Ikaria with mouth and gut for scavenging, segmented Yilingia with paired legs and musculature for roaming
540,000,000;"explosion in animal diversification over 20 million years (earliest Cambrian Period); emergence of modern body plans, resolving to phyla over 40 million years"
535,000,000;earliest chordates amongst the bilaterians (Early Cambrian Period): notochord and pharyngeal gill slits
520,000,000;earliest acute visual perception: compound and stalked eyes of stem arthropods (Cambrian Period) ? vision catalysing animal diversification
500,000,000;first colonisation of land by plants: algae of the Middle Cambrian Period, probably facilitated by fungi ? continental greening that creates soils and meanders rivers
480,000,000;radiation of vertebrates amongst the chordates (Ordovician Period): aquatic with a mineralised skeleton, armour and scales
445,000,000;mass extinction in two pulses across 1 million years, eliminating more than three-quarters of all species (Late Ordovician Period), linked to volcanic activity
420,000,000;"earliest jawed vertebrates amongst the fishes (Late Silurian Period) ? diversification of feeding niches; capacity for yawning, omnipresent across disparate modern lineages"
407,000,000;earliest acoustic communication, by aquatic vertebrates (Early Devonian Period): sound production and hearing for signalling, displaying and surveillance
407,000,000;earliest woody stems of vascular plants (Early Devonian Period) ? evolution driven by hydraulic constraints, pre-adapting plants for taller morphologies
394,000,000;"earliest tetrapods amongst the vertebrates (Devonian Period): limbs replacing paired fins; still fully aquatic"
385,000,000;"earliest forests (Devonian Period, New York State, North America) ? three-dimensional terrestrial habitat; rising atmospheric O? and diminishing CO?"
375,000,000;mass extinction in a series of pulses across 20 million years, eliminating more than two-thirds of all species (Late Devonian Period), linked to climatic cooling
350,000,000;earliest land vertebrates (Early Carboniferous Period): semi-aquatic amphibian tetrapods
340,000,000;earliest fully terrestrial tetrapod vertebrates, laying amniote eggs (Carboniferous Period)
251,900,000;Earth’s largest mass extinction, eliminating nine tenths of all species during 61 thousand years (Permian-Triassic transition), caused by hot and acidifying volcanic CO? emissions from the Siberian Traps
233,000,000;dawn of the modern world: major biological turnover linked to volcanism (Late Triassic Period) ? rapid diversifications and originations of conifers, insects, dinosaurs, reptiles and stem mammals
201,300,000;mass extinction event, eliminating more than two-thirds of all species (Triassic-Jurassic transition), linked with volcanic CO? equivalent to projections for CE 21?? century anthropogenic emissions
200,000,000;earliest warm-blooded stem mammals (Late Triassic): faster metabolism sustaining endothermy in a cooler climate
178,000,000;"earliest true mammals amongst the terrestrial vertebrates (Jurassic Period): fur and endothermy; natural lifespan of 3,200 somatic mutations ? humans averaging 47 annually"
135,000,000;major radiations of flowering plants and their insect pollinators in the Early Cretaceous Period: an “abominable mystery” (Charles Darwin, 1879)
101,500,000;aerobic bacteria embed into oxic sediment of the South Pacific Gyre, reviving after 101.5 million years to grow into microbial communities
90,000,000;earliest mammal louse (Cretaceous Period) ? body-, pubic- and head-lice, bedbugs, screwworms and botflies, fleas, ticks, scabies and chiggers amongst the ectoparasites of modern humans, with 300 worm and 70 protozoan endoparasites
66,000,000;abrupt mass extinction of non-avian dinosaurs, with three-quarters of all species, following the springtime impact of a 9-km wide asteroid at Chicxulub, Mexico (Cretaceous-Paleogene transition) ? rapid diversification of flowering plants and mammals
55,000,000;earliest primates amongst the mammals (Eocene Epoch): brachiation
44,000,000;"divergence of Old World from New World primates (Eocene Epoch): colour vision, opposable thumbs, sociality; capacity to grieve, as in other mammals, and to recognise deceptions; extended sexuality ? extreme in humans"
25,200,000;"earliest hominoids (apes) amongst the Old World primates (Tanzania, Oligocene Epoch): tailless, enlarged brain; dawn of speech in contrasting vowel sounds – no language without vowels"
16,800,000;"earliest hominids (great apes) amongst the hominoid gibbons in Asia: larger body size and sexual dimorphism; nest-making, play, empathy, long-distance communication by drumming; capacity for self-medication, as in other animals"
13,000,000;hominids Pierolapithecus catalaunicus in Spain, and Nyanzapithecus alesi in Kenya, possible ancestors of hominins and modern apes respectively, the former with upright posture
7,000,000;earliest hominins Sahelanthropus, then Orrorin and Ardipithecus, amongst the hominids in Africa: reduced canines, arboreal habit, bipedal capability
4,200,000;replacement of the earliest hominins by Australopithecus spp. in Africa: fully upright, bipedal and free-striding gait
3,300,000;earliest knapped stone artefacts (Kenya): Lomekwian tools ? hominin technological behaviour
2,800,000;earliest human, Homo sp., amongst the hominins (Ledi-Geraru, Ethiopia): rounded chin as Australopithecus afarensis, but smaller and slimmer molars as the later Homo habilis
2,700,000;rise of co-existing hominin genus Paranthropus (East Africa)
2,600,000;incorporation of meat and marrow into generalist diets of hominins (Africa)
2,600,000;earliest stone tools produced by humans (Gona, Ethiopia): Oldowan tools, chopping through flesh, bone, bark
2,588,000;start of the current geological period of Quaternary glaciation, possibly initiated by a supernova blast 150-300 light-years away, luminous as the full Moon
2,400,000;Homo habilis in Africa, using stone tools for cleaving meat from bone
2,120,000;earliest evidence of human ancestors outside of Africa: tool-using hominins in Shangchen, southern China
2,000,000;early Homo erectus, direct ancestor of modern humans, coexisting with Australopithecus – soon extinct, and Paranthropus (South Africa): delayed maturity, enlarged brain and smaller teeth
1,800,000;"migrations of Homo erectus from Africa to Eurasia (Georgia; to Lantian in northern China by 1.63 million years ago; to Java by 1.5 million years ago); ecological success underwritten by postmenopausal care of young?"
1,700,000;earliest stone hand axes (Tanzania): Acheulean tools, standardised for butchering, cutting, stripping, hammering, drilling ? population mobility
1,500,000;"earliest control of fire, by Homo erectus (Koobi Fora, Kenya): uniquely human capability ? extending the day with firelight; improving nutrient uptake with cooked food by 780,000 years ago; widespread use of fire by 400,000 years ago"
1,500,000;male-male alliances in Homo erectus social groups (Ileret, Kenya): cooperative networks, perhaps including unrelated individuals
1,400,000;earliest organic tools: a hand axe made from hippopotamus bone (Ethiopia) ? conscious symbolism?
1,400,000;replacement of Homo habilis by Homo erectus in Africa
1,000,000;extinction of Paranthropus (South Africa), our last remaining sibling genus
900,000;Homo antecessor in western Europe (Atapuerca, Spain), closely related to the last common ancestor of Neanderthals, Denisovans and modern humans
900,000;flint scrapers associated with Homo antecessor (Atapuerca, Spain), suitable for preparing animal hides ? clothing?
800,000;"earliest cannibalism, in Homo antecessor (Gran Dolina, Spain), practised throughout human history; social motivation?"
700,000;diminutive Homo floresiensis on the Indonesian island of Flores, probable descendent of Homo erectus
700,000;"rise of Homo heidelbergensis in Africa and Europe, possible ancestor of Homo sapiens and Homo neanderthalensis; cooking meat and starchy plants"
500,000;earliest abstract markings: a zigzag engraving on shell by Homo erectus (Indonesia) ? uniquely human capacity for abstraction
500,000;earliest use of stone-tipped spears, by Homo heidelbergensis (South Africa) for hunting large game
450,000;rise of Neanderthals Homo neanderthalensis across Europe: similar brain size but fewer neurones compared to modern humans
