year;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bonaire, Saint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Cote dIvoire;Croatia;Cuba;Curacao;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;North Macedonia;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;South Sudan;Sudan;Reunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Sint Maarten (Dutch part);Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;USA;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe
1959;0.104959449;0.394;1.543945669;0.0;0.168829685;0.0;0.008;13.3593885;0.858818743;0.196334852;22.84611276;7.617331732;4.988501319;0.071;0.358;0.502185307;0.041;10.49493101;24.10210142;0.011;0.028;0.037;0.0;0.151146433;1.314746087;0.0;10.64876646;0.0;0.089;5.355418504;0.002;0.010628571;0.058;50.34971457;0.00499189;0.027;0.017;3.467075433;196.547914;4.390499948;0.003;0.051;0.0;0.105;0.149;1.417868663;4.27531063;2.832661981;0.226910787;25.34729784;5.421874726;0.736618819;7.10546695;0.01;0.003;0.303789134;0.352829685;3.468029213;0.164910787;0.013;0.0;3.824889001;0.091975669;0.027;0.0;0.054;3.699710472;71.58555811;0.006;0.008;0.006;0.005;1.538934459;206.2758136;0.361;2.216410394;0.064;0.004;0.039;0.337870236;0.043;0.004;0.151;0.068959449;0.15999189;0.737845906;11.43641864;0.337910787;27.71847404;6.512618819;1.996270079;3.36031063;6.978359291;1.529140315;25.67811205;0.501781024;52.57095717;0.178878346;25.23231971;0.602650681;0.0;0.0;1.037;2.231978541;0.021;2.520323424;0.668180866;0.0;0.039;0.118;0.0;3.891648306;2.843789134;0.01;0.960788928;0.102;0.125475241;0.868789376;0.0;0.013;0.106;0.0;0.045;0.009;0.061;0.0;15.90801543;0.367;0.129736519;0.0;0.919448504;0.489764803;0.757959449;0.0;0.0;0.018;18.31823197;0.161;2.816383622;0.130959449;0.006;0.972862268;0.0;3.222751024;0.0;0.0;2.707705592;0.0;0.271894567;0.044;0.08298378;1.969359291;1.972197087;0.258967559;51.7631363;2.177864567;0.05;0.07599189;3.062602598;4.087625781;0.031061941;0.341851173;0.019;13.82185323;231.4505125;0.020371429;0.0;0.003;0.337856733;0.004;0.002;0.505918898;0.105813465;3.823508514;0.0;0.064;0.491;8.095236721;1.084169654;0.003;0.024;25.78408031;14.21368213;0.560894379;0.0;0.009;0.003;0.1;0.001;11.56888567;4.531039764;0.607504461;2.999824016;1.286696554;0.906440394;0.0;0.015;0.002;0.843805354;0.433514504;4.692086392;3.155332789;0.0;0.0;0.112910787;73.44229042;0.003;149.1828963;0.188;772.9047809;1.197537717;9.998606333;0.0;17.78093177;1.802578268;0.0;0.71;1.246670718;1.701191614
1960;0.112959805;0.552;1.678832126;0;0.149822756;0;0.01;13.30908843;0.894362052;0.168821185;24.04991811;8.401877559;5.195796354;0.112;0.157;0.603685966;0.047;10.9296132;24.81115799;0.012;0.044;0.043;0;0.12996531;1.436127437;0;12.78706898;0;0.091;6.078247901;0.012;0.009942857;0.064;52.59720929;0.00599189;0.024;0.015;3.678075433;218.0130788;4.473386063;0.003;0.061;0;0.134;0.126;1.549362402;3.73556193;2.435702812;0.241902677;27.03401128;6.492477717;0.632781024;8.119410589;0.011;0.003;0.283813465;0.480781024;4.375745354;0.168902677;0.006;0;3.982951877;0.095967559;0.016;0;0.053;4.11761315;80.81222584;0.006;0.01;0.036;0.005;1.602698889;222.1479831;0.399;2.563190712;0.061;0.006;0.043;0.366878346;0.112;0.005;0.18;0.077943228;0.167959449;0.805837594;12.37126427;0.330919142;30.41762642;5.836570231;2.25331874;3.048181135;10.19612418;1.763107874;29.80433591;0.400764803;63.45514213;0.202821575;26.27881826;0.661611296;0;0;2.128;2.32463278;0.022;2.624675082;0.703057874;0;0.045;0.189;0;4.051968692;3.140764803;0.014;1.049492356;0.109;0.119636185;1.146683976;0;0.033;0.093;0;0.046;0.01;0.049;0;17.2085937;0.353;0.141714253;0;0.992359291;0.513756693;0.740951339;0;0;0.022;20.04301299;0.235;3.14731874;0.144967559;0.008;0.928813665;0;3.571726693;0;0;3.25503192;0;0.271878346;0.049;0.08298378;2.228335259;2.272124094;0.273959449;54.46972512;2.241678031;0.048;0.074;3.422521356;4.259871192;0.030895389;0.340006692;0.02;14.57263425;240.9735421;0.019057143;0;0.004;0.290510693;0.004;0.003;0.729902677;0.225813465;4.176480459;0;0.195;0.38;8.633519252;1.18437157;0.003;0.023;26.70401554;13.33667402;0.615902677;0;0.01;0.003;0.118;0.009;13.41990189;5.321650472;0.878464724;3.240694252;1.339754182;1.012416063;0;0.018;0.003;0.703805077;0.470552988;4.584753465;3.286935485;0;0;0.114918898;76.4528623;0.003;159.3941096;0.226;790.7519815;1.177545827;10.41951601;0;15.56136173;2.042553937;0;0.991;1.188662238;1.622031847
1961;0.133951339;0.622;1.652816621;0;0.1238283;0;0.013;13.95379646;0.923352997;0.176187927;24.70084499;8.685601811;5.363687496;0.149;0.483;0.625111769;0.053;11.27667788;25.29975268;0.01;0.035;0.048;0;0.135636524;1.505304165;0;13.41280095;0;0.083;7.081069764;0.025;0.013028571;0.078;52.94778756;0.00599189;0.024;0.014;3.946026772;155.7396798;4.966240079;0.003;0.073;0;0.134;0.151;1.624545545;3.32104328;2.541988026;0.235894567;29.34081668;7.212502047;0.642846145;8.652256299;0.012;0.003;0.280741393;0.448756693;4.657728646;0.158918898;0.006;0;4.107543529;0.092967559;0.031;0;0.046;4.072515462;86.14973003;0.006;0.016;0.045;0.006;1.654737987;227.8492421;0.367;2.676972441;0.08;0.005;0.048;0.383862126;0.168;0.008;0.201;0.080951339;0.200951339;0.919797244;13.3542321;0.297918898;32.89830317;7.096505276;2.37697;3.371343071;9.964180784;1.927067323;33.9451137;0.580764803;77.17983036;0.266756693;27.10219118;0.654635596;0.002;0;2.722;2.397673039;0.031;2.707631644;0.731034882;0;0.044;0.326;0;4.18150368;3.160748583;0.019;1.100054409;0.097;0.101888106;1.278635039;0;0.032;0.08;0;0.047;0.013;0.051;0;17.80565047;0.38;0.148541709;0;1.029303196;0.717764803;0.706959449;0;0;0.022;20.69289945;0.242;3.208278189;0.152959449;0.015;1.121602598;0;3.639596929;0;0;3.370516251;0;0.300878346;0.055;0.09898378;2.356343071;2.377872203;0.283951339;56.55988165;2.47762937;0.044;0.077;3.943424173;4.396953145;0.031478321;0.34645428;0.023;15.20635039;248.510494;0.024971429;0;0.005;0.303187523;0.005;0.003;0.97388634;0.221797244;4.377246685;0;0.079;0.571;9.371875153;1.241770011;0.004;0.024;27.87113709;14.63069218;0.636910787;0;0.013;0.003;0.117;0.001;13.31864261;5.557025984;0.835407953;3.419337402;1.382136216;1.130107874;0;0.025;0.003;1.254894567;0.481635039;4.732761575;3.395401713;0;0;0.110927008;78.82683158;0.003;160.6481445;0.192;787.9019378;1.123570157;10.77833145;0;14.15932929;2.177497165;0;0.727;1.012273965;1.3813492
1962;0.187935118;0.672;1.545035506;0;0.321814042;0;0.028;14.63977213;0.970542632;0.19348861;25.87976402;9.242625777;5.635669797;0.198;0.434;0.686887575;0.071;11.84366714;26.75172043;0.019;0.037;0.043;0;0.148955283;1.544720938;0;14.63740432;0.001;0.101;8.379915669;0.023;0.012;0.084;56.49311441;0.00499189;0.02;0.023;4.55987243;125.4416141;5.300077874;0.003;0.065;0;0.15;0.16;1.667092164;3.863140315;2.79159724;0.246894567;31.26748352;8.375380394;0.592781024;10.06819971;0.013;0.003;0.338732362;0.426764803;5.068534488;0.176927008;0.006;0;4.310854904;0.107951339;0.032;0;0.063;4.582499934;90.84195413;0.006;0.013;0.024;0.007;1.739106137;241.039466;0.391;2.769875884;0.072;0.007;0.051;0.376870236;0.18;0.011;0.185;0.082935118;0.190935118;1.004764803;13.78608612;0.326894567;36.22504596;6.270440394;2.462018661;3.577164646;10.21518087;2.164945669;39.91675362;0.577781024;79.93024843;0.285740472;28.44400019;0.715618286;0.003;0;3.897;2.516872556;0.036;2.8430782;0.778051102;0;0.069;0.286;0;4.393685987;3.149748583;0.026;1.128852796;0.10798378;0.098420849;1.30364315;0;0.038;0.09;0;0.047;0.017;0.069;0;17.39730194;0.538;0.152430391;0.001;0.839228609;0.541804995;0.785943228;0;0;0.024;22.7297778;0.154;3.05630252;0.179951339;0.018;1.139464724;0;3.837442835;0;0;3.703570428;0;0.324862126;0.054;0.10698378;2.718229528;2.820937559;0.299943228;59.1176789;2.535450945;0.052;0.079;4.711132205;4.619424349;0.033726772;0.371187739;0.025;17.41615575;260.8260814;0.023;0;0.005;0.332958867;0.005;0.003;1.705797244;0.221797244;4.492167345;0;0.089;0.685975783;9.98707582;1.274092362;0.004;0.029;28.84006399;16.36895465;0.698902677;0;0.009;0.003;0.135;0;13.99360992;6.58388811;0.87332762;3.86594;1.451458468;1.371937559;0;0.024;0.003;1.973821575;0.489601786;5.896437165;3.57038945;0;0;0.116935118;82.71067181;0.005;161.8262824;0.209;817.1129998;1.093586756;11.34848077;0.011;14.75330485;2.548489055;0;1.06;0.977808624;1.334322969
1963;0.192886457;0.568;1.479026772;0;0.313789134;0;0.023;13.65520197;1.042160497;0.185340547;27.54756126;10.08435039;6.049606271;0.193;0.326;0.789640325;0.052;12.70605871;28.84180963;0.017;0.033;0.041;0;0.142682577;1.718450193;0;15.16128228;0.001;0.097;9.381566929;0.024;0.013;0.106;57.56298465;0.00399189;0.02;0.025;4.731710472;124.6668803;5.794972791;0.003;0.064;0;0.164;0.17;1.854781359;3.555107874;2.674039352;0.268894567;32.8854636;8.959210079;0.625731934;11.09932118;0.018;0.004;0.340748583;0.489716142;5.875234409;0.306910787;0.007;0;4.622328593;0.114959798;0.034;0;0.066;5.277426614;92.23902092;0.007;0.018;0.02;0.008;1.867491077;258.0507602;0.47;3.340469606;0.09;0.004;0.056;0.414829685;0.19;0.013;0.168;0.067943228;0.193935118;1.158756693;15.34601286;0.35589427;38.91958746;6.212635039;2.56096189;3.670115984;11.27318094;2.23787318;44.91163739;0.653781024;88.65596701;0.332683701;30.49628647;0.778618819;0.005;0;4.643;2.698673675;0.04;3.04957622;0.825010551;0;0.097;0.399;0;4.715928305;3.121772913;0.029;1.255807516;0.125951339;0.094624808;1.590602598;0;0.048;0.112;0;0.057;0.024;0.057;0;18.09284779;0.437;0.169573244;0.001;1.079164646;0.452813465;0.718862126;0;0;0.027;24.87570471;0.169;3.334205197;0.229943228;0.024;1.458416063;0;4.084410394;0;0;4.25770095;0;0.322845906;0.07;0.11198378;2.790164945;3.13095378;0.330935314;63.04553305;2.732418504;1.674;0.082;5.754140464;4.955726357;0.038140399;0.419761436;0.031;18.95618277;279.7246613;0.023;0;0.006;0.318937525;0.006;0.002;1.893781139;0.234789134;4.997527042;0.002;0.101;0.901028017;10.51345654;1.417323301;0.004;0.028;29.94682068;16.03245181;0.690918898;0;0.01;0.004;0.145;0;15.09635826;7.934050315;0.984245748;4.123526378;1.557211724;1.517905118;0;0.029;0.003;0.457821575;0.530602598;6.179023543;3.835472468;0;0;0.117943228;88.69124318;0.006;164.6794932;0.219;853.2989821;1.177626612;12.20918939;0.009;15.3252563;2.486456614;0;0.796;0.94009038;1.282853872
1964;0.228862126;0.55;1.540132205;0;0.333764803;0;0.025;15.19378856;1.109466833;0.18020615;29.71500179;10.61583906;6.438770684;0.296;0.436;0.81184838;0.049;13.5158256;28.26255236;0.023;0.039;0.055;0;0.138729913;1.946913659;0;15.46579607;0.002;0.093;11.68615331;0.03;0.013;0.092991976;64.84108441;0.00798378;0.02;0.027;4.777605039;125.7197309;5.917834933;0.003;0.073;0;0.183967559;0.208;2.102603986;3.897107874;2.599961779;0.272918898;34.22541418;9.721120866;0.538748115;11.77590774;0.023;0.004;0.47666748;0.584683701;6.957218189;0.335902677;0.007;0;4.915083775;0.110951339;0.033;0;0.115967559;6.230264409;100.6557302;0.008;0.018;0.052;0.008;1.988275386;264.4425452;0.45;3.603055984;0.086;0.006;0.059;0.482797244;0.191;0.016;0.177;0.081935118;0.196918898;1.151764803;17.0145103;0.356878005;38.11110463;6.106513386;2.473791575;3.879929449;12.96918087;2.493792059;47.95880908;1.108692089;97.95062596;0.33865937;32.42520896;0.770537717;0.005;0;6.909;2.869441384;0.047;3.243604117;0.890026772;0;0.132;0.181;0;5.018082818;3.355772981;0.035;1.422772209;0.131950967;0.089967559;2.019489308;0;0.048;0.136;0;0.064;0.032;0.084;0;20.25112599;0.558;0.192118693;0.002;1.20497811;0.583797244;0.779854016;0;0.008;0.041;26.4128289;0.3;3.573132205;0.258935118;0.026;1.983269711;0;4.41329685;0;0.003;4.377445666;0;0.338862126;0.073;0.117975669;3.344099764;3.499678031;0.403927188;66.28834056;3.004208234;1.711;0.092;6.057629596;5.27224146;0.042220922;0.464706484;0.034;19.66076079;297.4944513;0.01;0;0.006;0.310102158;0.007;0.003;1.921716142;0.251772913;5.661548821;0.002;0.083;0.983;10.94085602;1.606192549;0.005;0.037;32.62718819;17.55562457;0.619918898;0;0.013;0.005;0.165;0.003;16.47600165;7.677231181;1.19030252;4.614404724;1.656535973;2.038832698;0;0.036;0.003;1.034805354;0.751497165;7.178755906;4.084819142;0;0;0.133918898;94.31227451;0.005;165.9022896;0.282;890.9153397;1.242553937;13.0211867;0.017;15.43395609;3.217205197;0;0.991;0.893829685;1.219724026
1965;0.274813465;0.593;1.798180411;0;0.323732362;0;0.041;16.0493585;1.177444274;0.161677677;32.98380701;10.40953937;6.83259202;0.359;0.335;0.851884884;0.056;14.33954071;28.74748748;0.023;0.041;0.049;0;0.124465952;2.00317227;0;15.37380338;0.002;0.091;12.62803953;0.028;0.01;0.109943228;68.75463835;0.00698378;0.024;0.029;4.843694252;136.5410382;6.238737607;0.004;0.067;0;0.230870236;0.32;2.165089109;3.983115984;2.332638363;0.313894567;33.35143016;12.06935606;0.67372466;12.08880213;0.033;0.004;0.421765359;0.62064315;7.535332086;0.283910787;0.008;0;5.213864469;0.175895163;0.037;0;0.093959449;6.905045433;99.18316713;0.01;0.023;0.059;0.008;2.110225725;262.036637;0.465;4.639455827;0.094;0.006;0.056;0.538740472;0.19;0.018;0.294;0.082951339;0.204894567;1.310732158;16.71237228;0.380878346;41.99447631;6.732594488;5.265580439;3.743840236;14.66113215;3.52861315;51.7271778;0.815659787;105.4779419;0.38766748;34.39717494;0.672465519;0.003;0;9.659;3.044047989;0.049;3.441277851;0.903929449;0;0.152;0.277;0;5.323595573;3.327756693;0.036;1.463881357;0.151959449;0.094967559;2.287180508;0;0.054;0.129;0;0.067;0.044;0.083;0;20.51525574;0.534;0.197669713;0.001;1.161132205;0.546756693;0.743854016;0;0.009;0.049;27.40272346;0.336;3.735067073;0.212927008;0.025;3.206912889;0;4.473231969;0;0.007;4.59322884;0;0.416813465;0.083;0.149967559;3.261880444;3.811312628;0.411935118;67.40744047;3.161150866;1.716;0.085;6.817223858;5.596942698;0.055128699;0.606804722;0.041;21.46203898;315.587248;0.013;0;0.007;0.278218009;0.008;0.003;1.150724252;0.461797244;5.825271733;0.002;0.077;0.662;10.6574047;1.652842823;0.007;0.036;34.9727178;19.38331071;0.724902677;0;0.011;0.004;0.217;0.022;17.07483969;8.277548018;1.002253858;4.870307402;1.757444886;2.030621938;0;0.036;0.003;1.416789283;0.671496416;7.465326555;4.335959462;0;0;0.170854016;100.032891;0.006;169.7902897;0.317;927.8238962;1.505537717;13.83138859;0.013;16.57467222;3.58895378;0;1.072;1.067756693;1.421724446
1966;0.297805354;0.696;2.298270079;0;0.423708031;0;0.095;17.21415575;1.243922598;0.151185649;32.81094488;10.70103607;7.21732222;0.298;0.177;0.866898011;0.073;15.14618667;28.68360936;0.022;0.031;0.055;0;0.116388769;1.984990518;0;17.52933339;0.003;0.134;13.29585323;0.028;0.013;0.127935118;70.70807063;0.006;0.023;0.023;5.12349179;149.9616041;6.406712913;0.005;0.084;0;0.270870236;0.338;2.146051441;4.140115984;2.181262452;0.338894567;33.16660105;12.99124252;0.655708031;13.66768858;0.038;0.004;0.455691811;0.659586378;7.241307402;0.355845906;0.007;0;5.506115051;0.224886457;0.038;0;0.087950779;8.048264409;103.7907842;0.012;0.033;0.104;0.009;2.229311799;259.6675744;0.393;5.082042205;0.106;0.008;0.069;0.474781024;0.196;0.018;0.322;0.082959449;0.219886457;1.408724252;16.83212898;0.407870236;43.54256973;6.379626929;7.553515827;4.119775651;17.49545897;3.706710125;58.40127189;0.959611114;114.422794;0.431586378;36.32637629;0.731463992;0.003;0;9.586;3.215047626;0.064;3.63475672;0.988791575;0;0.167;0.717;0;5.622973391;3.168764877;0.041;1.450581338;0.157943228;0.116951339;2.684059213;0;0.052;0.113;0;0.074;0.049;0.075;0;22.06456614;0.533;0.195873795;0.002;1.490051102;0.579748583;0.765845906;0;0.009;0.052;28.2635126;0.412;3.821034882;0.261910787;0.03698378;3.518896694;0;5.332988661;0;0.008;4.67405715;0;0.451837436;0.093;0.139967559;3.613824341;4.395223858;0.460927008;68.89492142;3.230102205;1.712;0.094;8.18292378;5.915300647;0.060041982;0.660873512;0.049;22.95051181;333.2759252;0.012;0;0.008;0.26016313;0.007;0.003;1.748724252;0.468789134;5.772952718;0.002;0.082;0.130710383;10.59338936;1.637693121;0.007;0.038;34.99860413;21.18368299;0.725910787;0;0.012;0.005;0.299;0.055;19.79185588;8.594230743;1.34031874;5.311568724;1.856230449;2.583361732;0;0.049;0.003;1.105764803;0.786472835;8.598734016;4.581107923;0;0;0.199870236;105.6259285;0.007;168.6885006;0.37394338;974.7328914;1.473480945;14.61910029;0.021;15.54967236;5.235026586;0;0.945;0.954756693;1.648724252
1967;0.349854016;0.731;2.301197435;0;0.270691811;0;0.154;17.87008232;1.302159978;0.186233485;35.24678268;10.89398787;7.551537413;0.464245748;0.274;0.920071604;0.092;15.84616059;29.3015848;0.033;0.039;0.058;0;0.143369997;2.00501217;0;18.04393598;0.001;0.12;15.04030149;0.028;0.013;0.113935118;76.86600331;0.005;0.025;0.032;5.25063774;125.6075042;6.737672362;0.005;0.088;0;0.238878346;0.371;2.169359156;4.295;2.686922408;0.371797244;33.10003144;14.29913709;0.624675591;13.38057504;0.024;0.006;0.42765937;0.706570157;5.362966772;0.315845906;0.007;0;5.756676714;0.292837795;0.046;0;0.096950832;7.802329291;110.4141108;0.019;0.038;0.276;0.009;2.333173183;255.5211293;0.408;5.323196299;0.114;0.01;0.079;0.540756693;0.198;0.013;0.361;0.070959449;0.238878346;1.651764803;16.04007239;0.393869906;43.59318194;6.697610709;5.014459055;4.474572598;18.52645906;3.692115984;63.9000388;1.054626929;133.5446041;0.38564315;37.97676423;0.736472835;0.006;0;6.938;3.361927894;0.087;3.801902319;0.972880787;0;0.167;5.047;0;5.885751558;3.097797244;0.045;1.465200367;0.229935118;0.099951339;2.764083543;0;0.061;0.142;0;0.081;0.054;0.136;0;24.56482836;0.586943228;0.19784782;0.002;1.476051102;0.510724252;0.986854016;0;0.013;0.058;29.11630984;0.402;3.719099764;0.294894567;0.035975669;3.500132205;0;5.268623701;0;0.037;4.960672503;0;0.462797244;0.119;0.13298378;3.722799685;4.969672362;0.515935118;70.6947211;3.381988661;1.824;0.125;9.583307121;6.189419782;0.072366827;0.796524337;0.058;25.11701709;348.4899149;0.011;0;0.009;0.32047411;0.007;0.003;6.95564315;0.190813465;5.831656674;0.002;0.069;0.77;10.56900868;1.654453163;0.009;0.062;36.50657992;23.57914205;0.803789134;0;0.014;0.005;0.364;0.062;18.81270157;8.875392867;1.256334961;5.996155748;1.941986345;3.316086561;0;0.054;0.004;1.264789134;0.841480945;9.137312796;4.795729798;0;0;0.220845906;110.4285619;0.25;161.5876167;0.479837795;1011.315762;1.331537717;15.31350214;0.023;17.94551813;6.26697;0;0.833;1.306667735;1.445
1968;0.333894882;0.838;2.470042605;0;0.455660115;0;0.27;18.83439339;1.340231991;0.17317426;36.70766913;11.54397933;7.768605168;0.444245748;0.301;1.055039719;0.12;16.29927555;32.32466591;0.028;0.042;0.061;0;0.133316482;2.144473502;0;21.10497125;0.004;0.117;16.22912355;0.028;0.015;0.133935118;82.76783289;0.00799189;0.05;0.034;5.786637245;135.2365082;7.252388864;0.005;0.123;0;0.282854016;0.436;2.32055581;4.372140315;2.498507711;0.442740472;34.62880891;16.17603165;0.918675591;14.53948583;0.033;0.006;0.64064315;0.849521496;6.242528819;0.343829685;0.008;0;5.917409136;0.470805354;0.05;0;0.107943228;9.083370022;114.1198257;0.023;0.042;0.535;0.01;2.400944387;268.7747853;0.480748583;6.082498819;0.148;0.011;0.076;0.583805354;0.204;0.017;0.363;0.071951339;0.333854016;1.691586378;16.67390981;0.434886717;47.55612746;7.522545827;5.375458768;4.858507409;22.4698589;3.764783788;68.00550228;1.058545827;153.3604136;0.410472835;39.03345285;0.768400622;0.009;0;6.318032358;3.456263972;0.046;3.909817732;1.008001451;0;0.240943228;8.219;0;6.057069521;3.345789197;0.046;1.567093896;0.248927008;0.105935724;2.87397;0;0.054;0.174;0;0.084;0.064;0.174;0;25.62424417;0.676918898;0.21160663;0.002;1.533905118;0.757683701;0.798805354;0;0.013;0.069;30.96221252;0.502;3.677156765;0.335886457;0.043975669;1.808367402;0;5.762469606;0;0.044;5.688261345;0;0.55082125;0.137;0.160975669;3.953775354;6.065169528;0.593918761;75.27320188;3.54594811;1.931;0.138;10.15205843;6.366885883;0.070534756;0.776344207;0.059;27.31424661;358.2831516;0.015;0.001;0.01;0.298001547;0.008;0.004;7.936440464;0.026781024;6.238110173;0.002;0.099;1.401052062;11.06031133;1.76929878;0.01;0.042;37.65113373;26.47850316;0.883756693;0;0.011;0.006;0.396;0.076;21.18068535;9.820231181;1.62498622;6.588595474;1.997544788;4.660388504;0;0.053;0.004;1.101764803;0.980440964;9.897785645;4.936212494;0;0;0.267829685;113.5125034;0.339;165.5262839;0.450830062;1048.285905;1.331432283;15.77339001;0.017;17.89630725;6.441294409;0;3.176;1.246627228;1.740626929
